ticker,description
# US-based companies with significant international exposure (vulnerable to tariffs)
AAPL,Apple Inc. - Significant manufacturing in China large European market
MSFT,Microsoft Corporation - Global cloud and software services
AMZN,Amazon.com Inc. - Global e-commerce and cloud services
GOOGL,Alphabet Inc. - Global digital advertising and services
META,Meta Platforms Inc. - Global social media platforms
TSLA,Tesla Inc. - Manufacturing in China sales in Europe and Asia
NVDA,NVIDIA Corporation - 39% revenue exposure to Greater China region semiconductor manufacturing
QCOM,Qualcomm Inc. - Mobile chip technology with global supply chains high China exposure
INTC,Intel Corporation - Semiconductor manufacturing and global sales
AMD,Advanced Micro Devices - Semiconductor manufacturing and global sales
MU,Micron Technology - Memory chip manufacturing and global sales
TXN,Texas Instruments - Semiconductor manufacturing and global sales
TSM,Taiwan Semiconductor Manufacturing - World's largest semiconductor foundry with global exposure
AMAT,Applied Materials - Semiconductor manufacturing equipment with global supply chains
KLAC,KLA Corporation - Semiconductor process control equipment with significant Asia exposure
LRCX,Lam Research - Semiconductor equipment manufacturing with global exposure
CAT,Caterpillar Inc. - Heavy machinery exports globally
DE,Deere & Company - Agricultural equipment exports
BA,Boeing Co. - Aircraft exports vulnerable to retaliatory tariffs
LMT,Lockheed Martin Corporation - Defense exports
RTX,Raytheon Technologies - Aerospace and defense exports
F,Ford Motor Company - Global auto manufacturing and sales
GM,General Motors Company - Global auto manufacturing and sales
IBM,International Business Machines - Global IT services
HPQ,HP Inc. - Global computer hardware manufacturing
DELL,Dell Technologies - Global computer hardware manufacturing
NKE,Nike Inc. - Manufacturing in Asia global sales
SBUX,Starbucks Corporation - Significant presence in China
MCD,McDonald's Corporation - Global restaurant chain
KO,Coca-Cola Company - Global beverage sales
PEP,PepsiCo Inc. - Global food and beverage sales
PG,Procter & Gamble - Consumer goods with global manufacturing
JNJ,Johnson & Johnson - Global pharmaceutical and consumer health
PFE,Pfizer Inc. - Global pharmaceutical sales
MRK,Merck & Co. - Global pharmaceutical sales
ABT,Abbott Laboratories - Global healthcare products
MMM,3M Company - Industrial and consumer products globally
HON,Honeywell International - Industrial conglomerate with global exposure
GE,General Electric - Industrial conglomerate with global exposure
XOM,Exxon Mobil Corporation - Global energy operations
CVX,Chevron Corporation - Global energy operations
WMT,Walmart Inc. - Global retail with significant imports
TGT,Target Corporation - Retail with significant imports
HD,Home Depot Inc. - Retail with significant imports
COST,Costco Wholesale - Retail with significant imports
AVGO,Broadcom Inc. - Semiconductor solutions with global supply chains
ADBE,Adobe Inc. - Global software and digital media solutions
CRM,Salesforce Inc. - Global cloud-based CRM solutions
PYPL,PayPal Holdings - Global digital payment platform
MRVL,Marvell Technology - Semiconductor solutions with global supply chains and data center focus

# European companies with US exposure
ASML,ASML Holding - Semiconductor equipment manufacturing
SAP,SAP SE - Enterprise software
SIEGY,Siemens AG - Industrial manufacturing
LVMUY,LVMH Moët Hennessy - Luxury goods
NSRGY,Nestlé S.A. - Food and beverage
VWAGY,Volkswagen AG - Automotive
BMWYY,BMW AG - Automotive
DMLRY,Mercedes-Benz Group AG - Automotive
SU,Schneider Electric SE - Energy management and automation
RHHBY,Roche Holding AG - Global pharmaceutical company
AZN,AstraZeneca PLC - Global pharmaceutical company

# Defensive sectors that may benefit during trade tensions
GLD,SPDR Gold Shares - Gold ETF
SLV,iShares Silver Trust - Silver ETF
PDBC,Invesco Optimum Yield Diversified Commodity Strategy - Commodities ETF
VPU,Vanguard Utilities ETF - Utilities sector
XLP,Consumer Staples Select Sector SPDR Fund - Consumer staples
XLU,Utilities Select Sector SPDR Fund - Utilities sector
XLRE,Real Estate Select Sector SPDR Fund - Real estate
XLV,Health Care Select Sector SPDR Fund - Healthcare sector
VNQ,Vanguard Real Estate ETF - Real estate investment trusts

# Cyclical stocks with trade war impact
MCRI,Macquarie Infrastructure Corporation - Infrastructure services with global exposure
BASE,Base Resources Limited - Mineral sands producer with international operations
XNCR,Xencor Inc. - Biopharmaceutical company with global partnerships
XPEL,XPEL Inc. - Automotive aftermarket products with international sales
NWTN,NWTN Inc. - Electric vehicle manufacturer with global supply chains
PGNY,Progyny Inc. - Fertility benefits provider with international clients
KFRC,Kforce Inc. - Staffing services with global reach
AMPL,Amplitude Inc. - Digital optimization platform with international clients
CASH,Meta Financial Group - Financial services with international operations
COLL,Collegium Pharmaceutical - Specialty pharmaceuticals with global distribution
JBSS,J&J Snack Foods Corp. - Snack food manufacturer with international sales
SRCE,Source Energy Services - Energy services with global operations
NEOG,Neogen Corporation - Food safety and animal health with global reach
IMTX,Immatics N.V. - Biopharmaceutical company with international collaborations
TRUP,Trupanion Inc. - Pet insurance with global partnerships
VSEC,Victory Capital Holdings - Investment management with international clients
STBA,Stellar Bancorp - Banking services with international exposure
PUBM,PubMatic Inc. - Digital advertising with global clients
NKE,Nike Inc. - Manufacturing in Asia global sales (undervalued)
FISV,Fiserv Inc. - Financial services technology (undervalued)
DHI,D.R. Horton Inc. - Homebuilding company (undervalued)
LEN,Lennar Corporation - Homebuilding company (undervalued)
PHM,PulteGroup Inc. - Homebuilding company (undervalued)
HBI,Hanesbrands Inc. - Apparel manufacturer (undervalued)
DIS,The Walt Disney Company - Entertainment and media (undervalued)

# Broad market ETFs for diversification
SPY,SPDR S&P 500 ETF Trust - Tracks the S&P 500 index
QQQ,Invesco QQQ Trust - Tracks the Nasdaq-100 index
IWM,iShares Russell 2000 ETF - Small-cap US stocks
VEA,Vanguard FTSE Developed Markets ETF - Developed markets ex-US
VWO,Vanguard FTSE Emerging Markets ETF - Emerging markets
AGG,iShares Core U.S. Aggregate Bond ETF - US investment-grade bonds
TLT,iShares 20+ Year Treasury Bond ETF - Long-term US Treasury bonds
BND,Vanguard Total Bond Market ETF - Broad US bond market exposure

# Inflation hedges and alternative investments
TIP,iShares TIPS Bond ETF - Treasury Inflation-Protected Securities
VTIP,Vanguard Short-Term Inflation-Protected Securities ETF - Short-term TIPS
SCHP,Schwab U.S. TIPS ETF - Treasury Inflation-Protected Securities
IAU,iShares Gold Trust - Gold ETF alternative
SGOL,Aberdeen Standard Physical Gold Shares ETF - Gold backed ETF
PSLV,Sprott Physical Silver Trust - Physical silver backed fund
PPLT,Aberdeen Standard Physical Platinum Shares ETF - Platinum ETF
PALL,Aberdeen Standard Physical Palladium Shares ETF - Palladium ETF
DBC,Invesco DB Commodity Index Tracking Fund - Broad commodities exposure
