ticker,description
# US-based companies with significant international exposure (vulnerable to tariffs)
AAPL,Apple Inc. - Significant manufacturing in China large European market
MSFT,Microsoft Corporation - Global cloud and software services
AMZN,Amazon.com Inc. - Global e-commerce and cloud services
GOOGL,Alphabet Inc. - Global digital advertising and services
META,Meta Platforms Inc. - Global social media platforms
TSLA,Tesla Inc. - Manufacturing in China sales in Europe and Asia
NVDA,NVIDIA Corporation - 39% revenue exposure to Greater China region semiconductor manufacturing
QCOM,Qualcomm Inc. - Mobile chip technology with global supply chains high China exposure
INTC,Intel Corporation - Semiconductor manufacturing and global sales
AMD,Advanced Micro Devices - Semiconductor manufacturing and global sales
MU,Micron Technology - Memory chip manufacturing and global sales
TXN,Texas Instruments - Semiconductor manufacturing and global sales
CAT,Caterpillar Inc. - Heavy machinery exports globally
DE,Deere & Company - Agricultural equipment exports
BA,Boeing Co. - Aircraft exports vulnerable to retaliatory tariffs
LMT,Lockheed Martin Corporation - Defense exports
RTX,Raytheon Technologies - Aerospace and defense exports
F,Ford Motor Company - Global auto manufacturing and sales
GM,General Motors Company - Global auto manufacturing and sales
IBM,International Business Machines - Global IT services
HPQ,HP Inc. - Global computer hardware manufacturing
DELL,Dell Technologies - Global computer hardware manufacturing
NKE,Nike Inc. - Manufacturing in Asia global sales
SBUX,Starbucks Corporation - Significant presence in China
MCD,McDonald's Corporation - Global restaurant chain
KO,Coca-Cola Company - Global beverage sales
PEP,PepsiCo Inc. - Global food and beverage sales
PG,Procter & Gamble - Consumer goods with global manufacturing
JNJ,Johnson & Johnson - Global pharmaceutical and consumer health
PFE,Pfizer Inc. - Global pharmaceutical sales
MRK,Merck & Co. - Global pharmaceutical sales
ABT,Abbott Laboratories - Global healthcare products
MMM,3M Company - Industrial and consumer products globally
HON,Honeywell International - Industrial conglomerate with global exposure
GE,General Electric - Industrial conglomerate with global exposure
XOM,Exxon Mobil Corporation - Global energy operations
CVX,Chevron Corporation - Global energy operations
WMT,Walmart Inc. - Global retail with significant imports
TGT,Target Corporation - Retail with significant imports
HD,Home Depot Inc. - Retail with significant imports
COST,Costco Wholesale - Retail with significant imports
LVS,Las Vegas Sands - 63% revenue exposure to Greater China region (Macao operations)
WYNN,Wynn Resorts - 47% revenue exposure to Greater China region (Macao operations)

# European companies with US exposure
ASML,ASML Holding - Semiconductor equipment manufacturing
SAP,SAP SE - Enterprise software
SIEGY,Siemens AG - Industrial manufacturing
LVMUY,LVMH Moët Hennessy - Luxury goods
NSRGY,Nestlé S.A. - Food and beverage
VWAGY,Volkswagen AG - Automotive
BMWYY,BMW AG - Automotive
DMLRY,Mercedes-Benz Group AG - Automotive
SHECY,Schneider Electric SE - Energy management and automation

# Chinese companies with US exposure
BABA,Alibaba Group Holding - E-commerce
JD,JD.com Inc. - E-commerce
PDD,PDD Holdings Inc. - E-commerce
NIO,NIO Inc. - Electric vehicles
LI,Li Auto Inc. - Electric vehicles
XPEV,XPeng Inc. - Electric vehicles

# Defensive sectors that may benefit during trade tensions
GLD,SPDR Gold Shares - Gold ETF
SLV,iShares Silver Trust - Silver ETF
PDBC,Invesco Optimum Yield Diversified Commodity Strategy - Commodities ETF
VPU,Vanguard Utilities ETF - Utilities sector
XLP,Consumer Staples Select Sector SPDR Fund - Consumer staples
XLU,Utilities Select Sector SPDR Fund - Utilities sector
XLRE,Real Estate Select Sector SPDR Fund - Real estate
